license_number,dba,business_name,street,naics,naics_desc,description,status
1012055,MAPLE EXPRESS,MAPLE EXPRESS,475 12TH ST,7225,Restaurants and Other Eating Places,CHINESE RESTURANT,Active
1019327,IHOP 1738,PEAK RESTAURANTS LLC,189 12TH ST,7225,Restaurants and Other Eating Places,"FAMILY RESTAURANT,  OPEN 24 HRS.",Active
1001866,DYLAN'S DRIVE IN,DYLAN'S DRIVE IN,981 12TH ST,7225,Restaurants and Other Eating Places,"FAST FOOD, MILK SHAKES",Active
GBL003535-04-2022,Chipotle Mexican Grill #4174,Chipotle Mexican Grill,1269 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
0999218,TIMBERMINE STEAKHOUSE,TIMBERMINE STEAKHOUSE,1701 PARK BLVD,7225,Restaurants and Other Eating Places,RESTAURANT WITH  B BEER/ LIQUOR/ WINE,Active
GBL001199-01-2020,Arby's 5749,DC Management Utah LLC,275 12TH ST,7225,Restaurants and Other Eating Places,Fast Food Restaurant,Active
GBL003025-10-2021,Cupbop Ogden LLC,Cupbop Co,141 12TH ST,7225,Restaurants and Other Eating Places,Korean BBQ Restaurant,Active
1024511,TACO BELL #033172,GOLDEN SPIKE RESTAURANTS LLC,365 12TH ST,7225,Restaurants and Other Eating Places,FAST FOOD RESTAURANT,Active
ALCOHOL001047-11-2019,Wing Wah Gourmet,Wing Wah Gourmet Inc,465 12TH ST,7225,Restaurants and Other Eating Places,Chinese Restaurant with Beer & Wine,Active
GBL003535-04-2022,Chipotle Mexican Grill #4174,Chipotle Mexican Grill,1269 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
1025119,Coffee Links LLC,Coffee Links LLC,287 PARK BLVD,7225,Restaurants and Other Eating Places,"COFFEE SHOP, TEA, DESSERTS, SMOOTHIES, SANDWICHES.",Active
1005604,THE GREENERY RESTAURANT,THE GREENERY RESTAURANT,1875 VALLEY DR,7225,Restaurants and Other Eating Places,Restaurant w/Beer & Wine,Active
1024501,POPYEY'S #506,HZ OPS HOLDING INC,217 12TH ST,7225,Restaurants and Other Eating Places,FAST FOOD RESTAURANT ( POPEYE'S LOUISIANA FRIED CHICKEN & SHRIMP),Active
ALCOHOL000188-01-2019,Gigs Tavern,JVA Holdings LLC,975 W 24TH ST,7224,Drinking Places (Alcholic Beverages),Full Service Bar & Grill,Active
ALCOHOL001108-12-2019,Blue Sapphire Gentlemen's Club,The Office 1900 LLC,2706 S 1900 W,7224,Drinking Places (Alcholic Beverages),"Sexually Oriented Business - Club w/Restuarant, Beer, Wine & Liquor",Active
1026161,ROOSTERS B ST BREWING CO LLC,ROOSTERS B ST BREWING CO LLC,2325 B AVE,7224,Drinking Places (Alcholic Beverages),Social Club/Restaurant/Beer/Wine/Liquor,Active
GBL003324-02-2022,Lachulavista Enterprises LLC,Lachulavista Enterprises LLC,1125 W 3300 S,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL001233-02-2020,Jamba Juice #103506,Blended Star LLC,4396 HARRISON BLVD,7225,Restaurants and Other Eating Places,"Blended Smoothie, Smoothie Bowls, Juices & Snacks",Active
1024510,TACO BELL #033161,GOLDEN SPIKE RESTAURANTS LLC,4312 HARRISON BLVD,7225,Restaurants and Other Eating Places,FAST FOOD RESTAURANT,Active
GBL002018-12-2020,Swig N' Sweets,Savory Swig Stores LLC,4286 HARRISON BLVD,7225,Restaurants and Other Eating Places,Restaurant Serving Soda and Cookies,Active
0466776,UNIVERSITY BROILER & GRILL,University Broiler & Grill,4342 HARRISON BLVD,7225,Restaurants and Other Eating Places,Restaurant w/B Beer,Active
1005102,JAVIER'S AUTHENTIC MEXICAN FOOD,JAVIER'S AUTHENTIC MEXICAN FOOD,4874 HARRISON BLVD,7225,Restaurants and Other Eating Places,"MEXICAN RESTAURANT W/BEER, WINE & LIQUOR",Active
0636419,ARBY'S #708,ARBY'S #708,4740 HARRISON BLVD,7225,Restaurants and Other Eating Places,FAST FOOD RESTAURANT,Active
GBL000369-03-2019,Taco Time,As2b Food Group Inc,4773 HARRISON BLVD,7225,Restaurants and Other Eating Places,Mexican Fast Food Restaruant,Active
1022777,PIZZA HUT #22546,WASATCH VALLEY PIZZA LLC,4789 HARRISON BLVD,7225,Restaurants and Other Eating Places,Pizza Restaurant - Delivery & Carry Out ONLY,Active
1020546,VIRGS - OGDEN INC,VIRGS - OGDEN INC,4649 HARRISON BLVD,7225,Restaurants and Other Eating Places,RESTAURANT,Active
1021282,LIGORIS,TED LIGORI INC,4780 OLD POST RD,7225,Restaurants and Other Eating Places,Italian Restaurant - Pizza & Pasta,Active
1026100,BEANS & BREWS COFFEE HOUSE,ARABICA LLC,4201 HARRISON BLVD,7225,Restaurants and Other Eating Places,SPECIALTY COFFEE HOUSE,Active
1024464,SUSHI TOTTO,Hae Dong LLC,1216 E 4800 S,7225,Restaurants and Other Eating Places,"Suchi, Sashim Restaurant w/Beer & Wine",Active
1021282,LIGORIS,TED LIGORI INC,4780 OLD POST RD,7225,Restaurants and Other Eating Places,Italian Restaurant - Pizza & Pasta,Active
1021282,LIGORIS,TED LIGORI INC,4780 OLD POST RD,7225,Restaurants and Other Eating Places,Italian Restaurant - Pizza & Pasta,Active
ALCOHOL003504-04-2022,Sushi Pro LLC,Sushi Pro,4337 HARRISON BLVD,7225,Restaurants and Other Eating Places,Sushi Restaurant w/ Beer & Wine,Active
1019636,HUG-HES CAFE,Hug-Hes Cafe,1220 E 4800 S,7225,Restaurants and Other Eating Places,Restaurant w/Beer & Wine,Active
1006889,NORTHERN UTAH GROUNDS FOR COFFEE INC,NORTHERN UTAH GROUNDS FOR COFFEE INC,4401 HARRISON BLVD,7225,Restaurants and Other Eating Places,Coffee Cart Inside IHC/McKay Dee Hospital,Active
1006889,NORTHERN UTAH GROUNDS FOR COFFEE INC,NORTHERN UTAH GROUNDS FOR COFFEE INC,4401 HARRISON BLVD,7225,Restaurants and Other Eating Places,Coffee Cart Inside IHC/McKay Dee Hospital,Active
ALCOHOL004195-12-2022,Thai Palm Kitchen,Heat Pho LLC,4844 HARRISON BLVD,7225,Restaurants and Other Eating Places,Thai Food Restaurant with Beer & Wine,Active
1006889,NORTHERN UTAH GROUNDS FOR COFFEE INC,NORTHERN UTAH GROUNDS FOR COFFEE INC,4401 HARRISON BLVD,7225,Restaurants and Other Eating Places,Coffee Cart Inside IHC/McKay Dee Hospital,Active
GBL001752-08-2020,Jimmy John's GHGF,GH Food Group SLC LLC,3685 HARRISON BLVD,7225,Restaurants and Other Eating Places,Quick Service Sandwich Restaurant,Active
GBL000025-11-2018,Baskin-Robbins #2108,Kiwi Scoops LLC,3675 HARRISON BLVD,7225,Restaurants and Other Eating Places,Selling Ice Cream and Ice Cream Products,Active
1026298,DAILY RISE DOWNTOWN LLC,3F HOLDING CORPORATION,2314 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Full Service Coffee Cafe. Serving Espresso Based & Non Espresso Drinks,Active
1018683,FIVE GUYS BURGERS AND FRIES,OGDEN FG LLC,2325 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,BURGER & FRY RESTAURANT,Active
