"TIKI BAR","1080 300 N                Clearfield UT 84015",
"FRY ME TO THE MOON #1","null null",
"PAD THAI FOOD TRUCK","null null",
"TAQUERIA AZTECA DE ORO","null null",
"MOUNTAIN BREW COFFEE","null null",
"JZ MEXICAN GRILL","null null",
"THE CRAZY TACO CATERING #1","null null",
"THE CRAZY TACO CATERING #2","null null",
"DAKINE GRINDZ, LLC","null null",
"EL TACAZO, LLC","null null",
"SPICE CUISINE","null null",
"EL NENE SAMMY","null null",
"WHERE'S ALDO #1","null null",
"WHERE'S ALDO #2","null null",
"SALSA'S CATERING, LLC","null null",
"GNARLY'S ISLAND","null null",
"COMMON GROUND EATERY","null null",
"TACOS EL TRIUNFO","null null",
"TACOS MI MEXICO","null null",
"KEEPIN IT FRESH","null null",
"SALSA'S CAFE, LLC","null null",
"CHURROMAZING","null null",
"THE LOST ALASKAN","null null",
"THE TRAVELIN GYRO","null null",
"WELLER'S DONER WAGON","null null",
"DONUT KABOBS","null null",
"MI RANCHITO TAQUERIA","null null",
"TACO BUENO","null null",
"CHICAS","null null",
"LOS HERMANOS TAQUERIA","null null",
"NA-CHO AVERAGE NACHOS","null null",
"WORLD'S BEST CORNDOGS #2","null null",
"WORLD'S BEST CORNDOGS #3","null null",
"FRY ME TO THE MOON #2","null null",
"WORLD'S BEST CORNDOGS #4","null null",
"THE ZONE BUS, LLC","null null",
"DEVIL'S PIT BBQ","null null",
"MARQUESAS CORNDOGS","null null",
"ROCKY MOUNTAIN BURGER BUS","null null",
"PIZZA CONE ZONE","null null",
"THE DAWG RUN","null null",
"EL CENOTE","null null",
"BAD BOY BURGER CO.","null null",
"SPEEDY LLAMA","null null",
"KONA ICE OF BOUNTIFUL","null null",
"SLOW DRAWL BBQ","null null",
"DONUT KABOBS #2","null null",
"KARIE ANNE'S LAYTON","null null",
"WORLD'S BEST CORNDOGS #5","null null",
"ALOHA DRINKS & DESSERTS (LEILANI'S LOVE SHACK)","null null",
"KIKI'S PLATE LUNCH","null null",
"DANGER MONKEY FROZEN TREATS","null null",
"EL KIOSCO","null null",
"WELLER'S CATERING","null null",
"TWISTED SUGAR - WEST POINT","null null",
"KALIA GRILL LLC",,
"SOCH LLC",,
"AGAPE SMOOTHIES AND BOWLS",,
"BUTTER-BEER AND MAGIC GEAR",,
"JOHNNY SMASH LLC",,
"EL CREPITAS",,
"CHURROLOGYWEBER",,
"PUPUSAS Y TACOS GLADIS","null null",
"SOUTHERN HEIGHTS BBQ","UT",
"ON RIICE","null null",
"SCONES N'STUFF","UT",
"BAKEDBYTRAVIS","UT",
"APOLLO BURGER","590 1100 North                NORTH SALT LAKE UT 84075",
"AMC THEATRES LAYTON HILLS 9","728 1425 NORTH                LAYTON UT 84041",
"BARNES & NOBLE BOOKSELLERS INC.","1780 WOODLAND PARK                LAYTON UT 84041",
"BEST WESTERN PLUS LAYTON PARK HOTEL","798 1425 NORTH                LAYTON UT 84041",
"BEST WESTERN PLUS COTTON TREE INN","1030 400 EAST                NORTH SALT LAKE UT 84054",
"BRUGES KITCHEN LLC","555 MAIN                NORTH SALT LAKE UT 84054",
"BUFFALO WILD WINGS, #377","695 RING                LAYTON UT 84041",
"DAILY RISE COFFEE","1985 ANTELOPE                LAYTON UT 84041",
"C & B MADDOX FAMOUS CHICKEN","698 MAIN                LAYTON UT 84041",
"CENTERVILLE CONCESSIONS STAND","1350 400 WEST                CENTERVILLE UT 84014",
"CHINA FORTUNE RESTAURANT","2112 HILLFIELD                LAYTON UT 84041",
"CHINA PLATTER RESTAURANT","547 2600 SOUTH                BOUNTIFUL UT 84010",
"CROWN BURGERS RESTAURANT","1986 MAIN                LAYTON UT 84041",
"WARREN'S / DYLAN'S DRIVE IN","185 MAIN                KAYSVILLE UT 84037",
"DAVIS PARK CAFE","1074 NICHOLLS                FRUIT HEIGHTS UT 84037",
"EAST LAYTON CHEVRON","1165 GENTILE                LAYTON UT 84040",
"EINSTEIN BROS. BAGELS #860","897 MAIN                LAYTON UT 84041",
"SINCLAIR","3427 ORCHARD                BOUNTIFUL UT 84010",
"FARMINGTON CITY MUNICIPAL POOL","142 MAIN                FARMINGTON UT 84025",
"FRANCISCO'S MEXICAN GRILL","7 STATE                FARMINGTON UT 84025",
"FAHRENHEIT LOUNGE","762 HERITAGE PARK                LAYTON UT 84041",
"FUJI SUSHI RESTAURANT","330 MARKET PLACE                CENTERVILLE UT 84014",
"GARCIA'S MEXICAN RESTAURANT","1075 HILLFIELD                LAYTON UT 84041",
"GOLDEN CORRAL LAYTON","1624 HERITAGE PARK                LAYTON UT 84041",
"CHERRY HILL, INC.","1325 MAIN                KAYSVILLE UT 84037",
"THE HABIT BURGER GRILL RESTAURANTS","260 UNION                FARMINGTON UT 84025",
"OSAKA SUSHI IZAKAYA","918 HERITAGE PARK                LAYTON UT 84041",
"ITAME'S GRILL/READY PIZZA","2704 HILLFIELD                LAYTON UT 84041",
"IN-N-OUT BURGER #248","475 700 WEST                CENTERVILLE UT 84014",
"JAROCHOS LLC","1095 MAIN                LAYTON UT 84041",
"JOHNNY ROCKETS #570","875 PROMONTORY                FARMINGTON UT 84025",
"KATERING WITH KJAR","215 SHEPARD                KAYSVILLE UT 84037",
"THE KAYSVILLE THEATRE","21 MAIN                KAYSVILLE UT 84037",
"APPLEBEE'S OF LAYTON","1622 1000 WEST                LAYTON UT 84041",
"LITTLE ORIENT RESTAURANT","734 MAIN                LAYTON UT 84041",
"LORENA'S RESTAURANT","2477 800 WEST                WOODS CROSS UT 84087",
"MEGAPLEX 14 AT LEGACY CROSSING","1075 LEGACY CROSSING                CENTERVILLE UT 84014",
"MANDARIN RESTAURANT","348 900 NORTH                BOUNTIFUL UT 84010",
"MANUEL'S EL BURRITO RESTAURANT AND CANTINA","1145 STATE                CLEARFIELD UT 84015",
"MO' BETTAHS","273 500 SOUTH                BOUNTIFUL UT 84010",
"NOODLES & COMPANY","748 ANTELOPE                LAYTON UT 84041",
"NIELSEN'S FROZEN CUSTARD & DINER","570 2600 SOUTH                BOUNTIFUL UT 84010",
"NACHO MAMA - ELLISON PARK","850 2200 NORTH                LAYTON UT 84041",
"OAKRIDGE COUNTRY CLUB","1492 SHEPARD                FARMINGTON UT 84025",
"THE OLIVE GARDEN ITALIAN RESTAURANT #1206","675 SOUTH RING                LAYTON UT 84041",
"OUTBACK STEAKHOUSE #4511","1664 1200 WEST                LAYTON UT 84041",
"PARK LANE CHEVRON","697 LAGOON                FARMINGTON UT 84025",
"PARSON'S BAKERY","535 2600 SOUTH                BOUNTIFUL UT 84010",
"CHERRY HILL, INC.","1325 MAIN                KAYSVILLE UT 84037",
"PILOT TRAVEL CENTER #772","885 NORTH POINT                NORTH SALT LAKE UT 84054",
"PRETZELMAKER/MRS. FIELDS","2070 LAYTON HILLS MALL                LAYTON UT 84041",
"RED ROBIN #412","1562 WOODLAND PARK                LAYTON UT 84041",
"ROOSTERS LAYTON, LLC","748 HERITAGE PARK                LAYTON UT 84041",
"A BOUNTIFUL ROYAL INDIA","55 MAIN                BOUNTIFUL UT 84010",
"RED LOBSTER #0674","979 400 WEST                LAYTON UT 84041",
"SUSHI YA","1246 LEGEND HILLS                CLEARFIELD UT 84015",
"SUSHI MONSTER","935 PROMONTORY                FARMINGTON UT 84025",
"SYRACUSE 6","2428 ANTELOPE                SYRACUSE UT 84075",
"SIPS OF WOODS CROSS, INC.","2223 MAIN                BOUNTIFUL UT 84010",
"SCHNEITERS BLUFF GOLF COURSE","300 3500 WEST                WEST POINT UT 84015",
"SALT CITY PIZZA CO.","116 GENTILE                LAYTON UT 84041",
"SH & SONS, INC.","641 MAIN                CLEARFIELD UT 84015",
"TASTE OF INDIA","1664 WOODLAND PARK                LAYTON UT 84041",
"CHIPOTLE MEXICAN GRILL #953","135 500 WEST                WEST BOUNTIFUL UT 84010",
"THYME & SEASONS MARKET PLACE","3211 ORCHARD                BOUNTIFUL UT 84010",
"CRANE FIELD GOLF COURSE","3648 CRANEFIELD                CLINTON UT 84015",
"TONY'S GRILL AND SUSHI BAR","22 MAIN                LAYTON UT 84041",
"TWIGS BISTRO & MARTINI BAR","155 EAST PROMONTORY                FARMINGTON UT 84025",
"COSTA VIDA","1952 2000 WEST                CLINTON UT 84015",
"TEPANYAKI","1386 LEGEND HILLS                CLEARFIELD UT 84015",
"WARREN'S DRIVE IN","1778 1000 West                SYRACUSE UT 84075",
"CHINESE GOURMET EXPRESS","1201 HILLFIELD                LAYTON UT 84041",
"HUG HES CAFE","2432 1700                SYRACUSE UT 84075",
"TAAKE 518, INC. DBA KENTUCKY FRIED CHICKEN","609 MAIN                CLEARFIELD UT 84015",
"THAI ROD DEE","350 MAIN                LAYTON UT 84041",
"CINEMARK LAYTON AND XD","720 RING                LAYTON UT 84041",
"CHINA STAR","1171 500 WEST                BOUNTIFUL UT 84010",
"CLASSIC FUN CENTER","867 ANGEL                LAYTON UT 84041",
"LA QUINTA INNS & SUITES #686","1965 1200 WEST                LAYTON UT 84041",
"ISLAND BUFFALO GRILL","4528 1700 SOUTH                SYRACUSE UT 84075",
"COURTYARD BY MARRIOTT","1803 WOODLAND PARK                LAYTON UT 84041",
"HAMPTON INN AND SUITES","332 PARK                FARMINGTON UT 84025",
"FARMINGTON BAY YOUTH CENTER","907 CLARK                FARMINGTON UT 84025",
"KIDS FIRST, INC.","615 FORT                LAYTON UT 84041",
"LET THEM BE KIDS AND THE HANG OUT #1","872 1600 SOUTH                CLEARFIELD UT 84015",
"LITTLE RASCALS PRESCHOOL","835 MAIN                SUNSET UT 84015",
"READY-SET-GROW PRESCHOOL","215 300 EAST                BOUNTIFUL UT 84010",
"SOLSTICE, RTC","1904 GORDAN                LAYTON UT 84041",
"VITO'S","108 MAIN                BOUNTIFUL UT 84010",
"ABC GREAT BEGINNINGS - CLEARFIELD","360 CENTER                CLEARFIELD UT 84015",
"BOBA WORLD, LLC","512 750 SOUTH                BOUNTIFUL UT 84010",
"BOONDOCKS FUN CENTER - KAYSVILLE LLC","525 DESERET                KAYSVILLE UT 84037",
"CRACKER BARREL #314","1792 HERITAGE PARK                LAYTON UT 84041",
"OAK RIDGE ASSISTED LIVING","463 RAWLINS                CENTERVILLE UT 84014",
"CHRISTIAN LIFE CENTER CHURCH CAFETERIA","2352 HWY. 193                LAYTON UT 84040",
"GREAT HARVEST BREAD","96 MAIN                LAYTON UT 84041",
"CUTLER'S","120 500 SOUTH                BOUNTIFUL UT 84010",
"ASCENT ACADEMICS OF UTAH CAFETERIA","22 650 WEST                FARMINGTON UT 84025",
"FAMILY TREE AT WEST POINT","421 3150 WEST                WEST POINT UT 84015",
"JEFFERSON ACADEMY CAFETERIA","1425 ANGEL                KAYSVILLE UT 84037",
"ARBY'S #1501","2030 MAIN                LAYTON UT 84041",
"PACE'S DAIRY ANN","1180 500 WEST                BOUNTIFUL UT 84010",
"SUBWAY #24216","386 REDWOOD                NORTH SALT LAKE UT 84054",
"WENDY'S #5705","1598 2000 West                SYRACUSE UT 84075",
"ARBY'S OF CLINTON #8339","1896 2000 WEST                CLINTON UT 84015",
"ARBY'S OF SYRACUSE #8299","1766 2000 WEST                SYRACUSE UT 84075",
"WASATCH WOK","129 STATE                CLEARFIELD UT 84015",
"THATCHER BROOK REHABILITATION & CARE CENTER","1795 CHELEMES                CLEARFIELD UT 84015",
"VOYAGE ACADEMY CAFETERIA","1891 1500 WEST                CLINTON UT 84015-8508",
"WALDO'S WILDCAT STORE","2750 UNIVERSITY PARK                LAYTON UT 84041",
"WINGER'S OF CLEARFIELD","743 MAIN                CLEARFIELD UT 84015",
"FIVE GUYS BURGERS & FRIES","255 500 WEST                BOUNTIFUL UT 84010",
"COSTA VIDA","630 1425 NORTH                LAYTON UT 84041",
"LA PETITE ACADEMY #7319","325 1550 NORTH                LAYTON UT 84041",
"LEGACY HOUSE OF BOUNTIFUL","79 CENTER                BOUNTIFUL UT 84010",
"KENTUCKY FRIED CHICKEN #508","495 500 West                BOUNTIFUL UT 84010",
"MENCHIE'S FROZEN YOGURT","765 ANTELOPE                LAYTON UT 84041",
"FIVE GUYS BURGERS & FRIES","2065 HARRIS                LAYTON UT 84041",
"ARCTIC CIRCLE #102","328 MAIN                KAYSVILLE UT 84037",
"ARCTIC CIRCLE #106","2071 ORCHARD                BOUNTIFUL UT 84010",
"ARCTIC CIRCLE #128","1093 1700 SOUTH                SYRACUSE UT 84075",
"ARCTIC CIRCLE #124","1493 MAIN                BOUNTIFUL UT 84010",
"TONYBURGERS","1917 1800 NORTH                CLINTON UT 84015",
"TONYBURGERS","100 PARRISH                CENTERVILLE UT 84014",
"CAFE RIO MEXICAN GRILL","2065 HARRIS                LAYTON UT 84041",
"BEEHIVE DAY CARE","573 1000 WEST                CLEARFIELD UT 84015",
"BENCHMARK BEHAVIORAL HEALTH SYSTEM, INC.","592 1350 SOUTH                WOODS CROSS UT 84087",
"BOWMAN'S MARKET","326 MAIN                KAYSVILLE UT 84037",
"MCDONALD'S #33152","1866 2000 WEST                CLINTON UT 84015",
"DEL TACO #790","196 500 SOUTH                BOUNTIFUL UT 84010",
"HAMPTON INN SALT LAKE CITY NORTH","2393 800 WEST                WOODS CROSS UT 84087",
"UTAH FOOD SERVICES","581 900 NORTH                NORTH SALT LAKE UT 84054",
"LITTLE CAESARS #014","1580 STATE                CLEARFIELD UT 84015",
"JIMMY JOHN'S","1952 2000 WEST                CLINTON UT 84015",
"WALMART #5234","1632 2000 WEST                CLINTON UT 84015",
"MAVERIK, INC. #283","1991 1700 SOUTH                SYRACUSE UT 84075",
"MAVERIK, INC. #349","390 1700 SOUTH                CLEARFIELD UT 84015",
"RB'S INTERSTATE #9","527 700 WEST                WOODS CROSS UT 84087",
"BRYDEN ACADEMY","595 500 WEST                WEST BOUNTIFUL UT 84087",
"DAIRY QUEEN","null LAYTON HILLS MALL                LAYTON UT 84041",
"GLEN EAGLE GOLF CLUB","3176 1700 SOUTH                SYRACUSE UT 84075",
"EL MATADOR","606 MAIN                BOUNTIFUL UT 84010",
"HATCH 541, INC. DBA TACO BELL #541","509 500 SOUTH                BOUNTIFUL UT 84010",
"TASTE OF INDIA GRILL","282 500 WEST                BOUNTIFUL UT 84010",
"VFW POST #8307","1389 MAIN                LAYTON UT 84041",
"TOP STOP CONVENIENCE STORE C-51","320 200 NORTH                KAYSVILLE UT 84037",
"TOP STOP CONVENIENCE STORE C-50","35 100 EAST                FARMINGTON UT 84025",
"TOP STOP CONVENIENCE STORE C-31","382 FRONTAGE                CENTERVILLE UT 84014",
"ARBY'S #1663","2489 MAIN                BOUNTIFUL UT 84010",
"7-ELEVEN #35432A","310 2000 WEST                WEST POINT UT 84015",
"COSTCO WHOLESALE #735","573 100 NORTH                WEST BOUNTIFUL UT 84087",
"DAVIS CONFERENCE CENTER","1651 700 WEST                LAYTON UT 84041",
"GREAT HARVEST BREAD","2201 2000 WEST                CLINTON UT 84015",
"ARCTIC CIRCLE #130","1075 FAIRFIELD                LAYTON UT 84041",
"HIGHMARK CHARTER CAFETERIA","2467 SOUTH WEBER                SOUTH WEBER UT 84405",
"DICK'S MARKET","2280 ORCHARD                BOUNTIFUL UT 84010",
"JAVIER'S AUTHENTIC MEXICAN FOOD","1050 SHEPARD                FARMINGTON UT 84025",
"ASSOCIATED FRESH MARKET","910 FAIRFIELD                LAYTON UT 84040",
"KEVA JUICE BOUNTIFUL","45 500 SOUTH                BOUNTIFUL UT 84010",
"LAYTON CHILDREN'S CENTER","1636 1200 WEST                LAYTON UT 84041",
"LEADERSHIP LEARNING ACADEMY CAFETERIA","100 2675 NORTH                LAYTON UT 84041",
"NORTH DAVIS PREPARATORY ACADEMY CAFETERIA","1765 HILLFIELD                LAYTON UT 84041",
"PLATES & PALATES","390 500 WEST                BOUNTIFUL UT 84010",
"SYRACUSE CITY COMMUNITY CENTER","1912 1900 SOUTH                SYRACUSE UT 84075",
"THE LUCKY SLICE","1246 LEGEND HILLS                CLEARFIELD UT 84015",
"TIME FOR FAMILIES, DAVIS COUNTY","440 KAYS                KAYSVILLE UT 84037",
"WASATCH PEAK ACADEMY CAFETERIA (K-6)","414 CUTLER                NORTH SALT LAKE UT 84054",
"WAT DHAMMAGUNARAM OF UTAH","644 1000 NORTH                LAYTON UT 84041",
"APPLE DEVELOPMENTAL DAY CARE","455 CENTER                BOUNTIFUL UT 84010",
"ASIAN FOODS, LLC","1475 STATE ST                CLEARFIELD UT 84015",
"CHANG'S CHOPSTIX RESTAURANT","1296 HIGHWAY 89                FARMINGTON UT 84025",
"COMFORT INN","877 400 WEST                LAYTON UT 84041",
"7-ELEVEN #35034A","1829 2000 WEST                CLINTON UT 84015",
"TACO TIME","45 MAIN                CENTERVILLE UT 84014",
"TACO TIME","496 1100 NORTH                NORTH SALT LAKE UT 84054",
"CHILI'S GRILL & BAR","1970 1000 WEST                LAYTON UT 84041",
"CHILI'S GRILL & BAR","371 PARRISH                CENTERVILLE UT 84014",
"BETO'S MEXICAN FOOD","293 MAIN                CLEARFIELD UT 84015",
"CUTLER'S - LAYTON","1290 HWY 193                LAYTON UT 84040",
"DEL TACO #1085","737 MAIN                LAYTON UT 84041",
"DOWN UNDER CLUB","544 400 NORTH                WEST BOUNTIFUL UT 84087",
"DRAGON HILL CUISINE, INC.","1625 1000 WEST                CLEARFIELD UT 84015",
"JANET'S SUNSHINE CAFE","20 ORCHARD                NORTH SALT LAKE UT 84054",
"JAVIER'S MEXICAN FOOD","448 ANTELOPE                LAYTON UT 84041",
"LAURI STOREY CATERING, LLC","35 100 WEST                KAYSVILLE UT 84037",
"MCKAY #534, INC. -DBA KENTUCKY FRIED CHICKEN","747 MAIN                LAYTON UT 84041",
"QUIZNOS","420 REDWOOD                NORTH SALT LAKE UT 84054",
"SILL'S CAFE","335 GENTILE                LAYTON UT 84041",
"THE PIZZA PLACE","198 FAIRFIELD                LAYTON UT 84041",
"HARMONS STATION PARK","200 STATION                FARMINGTON UT 84025",
"DAVIS LANES INC","1396 MAIN                LAYTON UT 84041",
"BARTON CREEK SENIOR LIVING","499 500 SOUTH                BOUNTIFUL UT 84010",
"SUBWAY #22747","1867 2000 WEST                CLINTON UT 84015",
"EINSTEIN BROS. BAGELS #1206","498 MAIN                BOUNTIFUL UT 84010",
"TACO BELL #33160","632 MAIN                CLEARFIELD UT 84015",
"TACO BELL #33155","885 MAIN                LAYTON UT 84041",
"TACO BELL #33173","311 FRONTAGE                CENTERVILLE UT 84014",
"TACO BELL #33175","1180 HIGHWAY 193                LAYTON UT 84040",
"TACO BELL #33177","1667 2000 WEST                CLINTON UT 84015",
"GREAT HARVEST BREAD CO.","43 500 SOUTH                BOUNTIFUL UT 84010",
"KINDERCARE LEARNING CENTER","775 400 EAST                NORTH SALT LAKE UT 84054",
"KINDERCARE LEARNING CENTERS","1208 SHEPARD CREEK                FARMINGTON UT 84025",
"MAVERIK, INC. #130","105 200 WEST                BOUNTIFUL UT 84010",
"MAVERIK, INC. #168","1500 MAIN                BOUNTIFUL UT 84010",
"MAVERIK, INC. #184","2014 400 WEST                LAYTON UT 84041",
"MAVERIK, INC. #197","87 MAIN                LAYTON UT 84041",
"MAVERIK, INC. #269","1036 1800 NORTH                CLINTON UT 84015",
"MAVERIK, INC. #299","849 GORDON                LAYTON UT 84041",
"MAVERIK, INC. #302","1510 700 SOUTH                CLEARFIELD UT 84015",
"MAVERIK, INC. #303","709 STATE                CLEARFIELD UT 84015",
"MAVERIK, INC. #369","985 300 NORTH                CLEARFIELD UT 84015",
"MAVERIK, INC. #381","1455 3000 NORTH                LAYTON UT 84040",
"MAVERIK, INC. #386","800 CENTER                NORTH SALT LAKE UT 84054",
"MAVERIK, INC. #397","957 SHEPARD                FARMINGTON UT 84025",
"COMMON CENTS FOOD STORE #252","412 500 WEST                BOUNTIFUL UT 84010",
"LAKEVIEW HOSPITAL","520 MEDICAL                BOUNTIFUL UT 84010",
"NIELSEN'S FROZEN CUSTARD","378 MAIN                LAYTON UT 84041",
"NORTH DAVIS PREPARATORY ACADEMY JR. HIGH CAFETERIA","1591 HILL FIELD                LAYTON UT 84041",
"DICK'S MARKET","84 PARRISH                CENTERVILLE UT 84014",
"CAFE CENTRAL","null G-4 FREEPORT WEST                CLEARFIELD UT 84016",
"CINEMARK STATION PARK","900 CLARK                FARMINGTON UT 84025",
"CAFE ZUPAS - FARMINGTON","262 CENTRAL                FARMINGTON UT 84025",
"CAFE ZUPAS - LAYTON","748 ANTELOPE                LAYTON UT 84041",
"RANCHERITO'S MEXICAN FOOD","423 MAIN                LAYTON UT 84041",
"RANCHERITO'S MEXICAN FOOD","866 1700 SOUTH                CLEARFIELD UT 84015",
"SMOKIN BONES BBQ, LLC","364 200 WEST                BOUNTIFUL UT 84010",
"SPECTRUM ACADEMY CAFETERIA","665 CUTLER                NORTH SALT LAKE UT 84054",
"SYRACUSE ARTS ACADEMY CAFETERIA","2893 1700 SOUTH                SYRACUSE UT 84075",
"ELEVATIONS RTC","2650 2700 SOUTH                SYRACUSE UT 84075",
"GAME HAVEN","273 500 SOUTH                BOUNTIFUL UT 84010",
"ROCKY MOUNTAIN CARE - CLEARFIELD","1481 1450 SOUTH                CLEARFIELD UT 84015",
"SAM'S CLUB #6682","1055 HILLFIELD                LAYTON UT 84041",
"FISHER PARK CONCESSION","825 1000 EAST                CLEARFIELD UT 84015",
"CHERRY HILL, INC.","1325 MAIN                KAYSVILLE UT 84037",
"3 BANDERAS WEST CLINTON COMPLEX","2826 1800 NORTH                CLINTON UT 84015",
"MAVERIK, INC. #513","1843 MAIN                SUNSET UT 84015",
"RB'S ONE STOP #4","219 PARRISH                CENTERVILLE UT 84014",
"RB'S GENTILE","411 GENTILE                LAYTON UT 84041",
"JIMMY JOHN'S","765 ANTELOPE                LAYTON UT 84041",
"JIMMY JOHN'S","175 500 WEST                WEST BOUNTIFUL UT 84010",
"MCDONALD'S #7490","529 700 WEST                CENTERVILLE UT 84014",
"BETO'S MEXICAN FOOD","315 MAIN                KAYSVILLE UT 84037",
"BETO'S MEXICAN FOOD","275 500 WEST                BOUNTIFUL UT 84010",
"SPECTRUM ACADEMY CAFETERIA","575 CUTLER                NORTH SALT LAKE UT 84054",
"IHOP #1737","388 MARKETPLACE                CENTERVILLE UT 84014",
"PANDA EXPRESS #966","1950 1000 WEST                LAYTON UT 84041",
"PANDA EXPRESS #1987","350 CENTRAL                FARMINGTON UT 84025",
"PANDA EXPRESS #2158","1649 2000 WEST                CLINTON UT 84015",
"BURGER KING #25243","1688 2000 WEST                CLINTON UT 84015",
"PACES","1090 300 North                CLEARFIELD UT 84015",
"PLAY2LEARN ACADEMY ON MAIN","1525 Main                BOUNTIFUL UT 84010",
"ARBY'S CENTERVILLE #5759","355 800 WEST                CENTERVILLE UT 84014",
"ARBY'S KAYSVILLE #7688","225 400 WEST                KAYSVILLE UT 84037",
"RUMBI ISLAND GRILL","71 500 WEST                WEST BOUNTIFUL UT 84010",
"MCDONALD'S #19334","320 200 NORTH                KAYSVILLE UT 84037",
"LITTLE CAESARS #015","74 500 SOUTH                BOUNTIFUL UT 84010",
"LITTLE CAESARS #034","1933 2000 WEST                CLINTON UT 84015",
"LITTLE CAESARS #056","2432 ANTELOPE                SYRACUSE UT 84075",
"LITTLE CAESARS #057","84 PARRISH                CENTERVILLE UT 84014",
"SMITH'S FOOD & DRUG CENTERS #135","1316 HWY. 89                FARMINGTON UT 84025",
"SMITH'S FOOD & DRUG CENTERS #140","2353 MAIN                SUNSET UT 84015",
"SMITH'S FOOD & DRUG CENTERS #142","951 1700 SOUTH                SYRACUSE UT 84075",
"SMITH'S FOOD & DRUG CENTERS #444","555 200 WEST                BOUNTIFUL UT 84010",
"STARBUCKS #10760","1819 1800 NORTH                CLINTON UT 84015",
"STARBUCKS #10703","356 MARKETPLACE                CENTERVILLE UT 84014",
"STARBUCKS #19032","332 UNION                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"STARBUCKS #20321","422 500 SOUTH                BOUNTIFUL UT 84010",
"PAPA JOHN'S PIZZA #1649","895 1700 SOUTH                SYRACUSE UT 84075",
"PAPA JOHN'S PIZZA #2644","755 HIGHWAY 89                NORTH SALT LAKE UT 84054",
"PAPA JOHN'S PIZZA #2610","1320 HIGHWAY 89                FARMINGTON UT 84025",
"PIZZA HUT #23180","265 MAIN                KAYSVILLE UT 84037",
"PIZZA HUT #22543","529 200 WEST                BOUNTIFUL UT 84010",
"THE RUSH FUNPLEX","1806 2000 WEST                SYRACUSE UT 84075",
"SUBWAY","1540 HILLFIELD                LAYTON UT 84041",
"POPEYE'S CHICKEN #507","924 ANTELOPE                LAYTON UT 84041",
"TARGET STORE T-1755 FOOD AVENUE","815 2000 NORTH                LAYTON UT 84041",
"TEXAS ROADHOUSE","365 500 WEST                WEST BOUNTIFUL UT 84087",
"7-ELEVEN STORE #34755 B","1109 500 SOUTH                WEST BOUNTIFUL UT 84087",
"Z BROTHERS PIZZA","460 REDWOOD                NORTH SALT LAKE UT 84054",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"LAGOON AMUSEMENT PARK","375 LAGOON                FARMINGTON UT 84025",
"PANDA EXPRESS #818","245 500 SOUTH                BOUNTIFUL UT 84010",
"IHOP #1741","920 MAIN                LAYTON UT 84041",
"THE PIZZA FACTORY - SYRACUSE","725 1700 SOUTH                SYRACUSE UT 84075",
"PLAY2LEARN ACADEMY","101 CROSS                LAYTON UT 84041",
"STEED PARK","300 1000 WEST                CLEARFIELD UT 84015",
"FARMINGTON CITY'S COMMUNITY ARTS CENTER","120 MAIN                FARMINGTON UT 84025",
"ARBY'S LAYTON #6521","987 FAIRFIELD                LAYTON UT 84041",
"RUMBI ISLAND GRILL","748 ANTELOPE                LAYTON UT 84041",
"3 BANDERAS, LLC CLINTON CIVIC CENTER","1651 2300 NORTH                CLINTON UT 84015",
"MCDONALD'S #17972","490 500 WEST                BOUNTIFUL UT 84010",
"MCDONALD'S #34870","610 2600 SOUTH                WOODS CROSS UT 84087",
"SONIC DRIVE IN LAYTON","796 ANTELOPE                LAYTON UT 84041",
"COSTA VIDA","310 CENTRAL                FARMINGTON UT 84025",
"LITTLE CAESARS #029","192 FAIRFIELD                LAYTON UT 84041",
"BASKIN ROBBINS","1088 GENTILE                LAYTON UT 84041",
"RB'S KAYSVILLE","135 MAIN                KAYSVILLE UT 84037",
"WALMART #3366","221 Parrish                CENTERVILLE UT 84014",
"WALMART #3848","2228 1700 SOUTH                SYRACUSE UT 84075",
"JIMMY JOHN'S","382 FRONTAGE                CENTERVILLE UT 84014",
"WALMART #5205","1356 HIGHWAY 193                LAYTON UT 84040",
"PIZZA HUT #24076","2201 2000 WEST                CLINTON UT 84015",
