,"UT",
,"UT",
,"1688 Lakeview Drive                Bountiful UT 84010",
,"UT",
,"631 8th St.                Ogden UT 84404",
,"443 n Fairfield Rd APT. 40                Layton UT 84041",
,"2941 s 1150 w                Syracuse UT 84075",
,"2251 W 1825 S                Syracuse UT 84075",
"QUICK EMISSIONS LLC","1200 S 1500 E Clearfield ut 84015                Clearfirld UT 84015",
"QUICK EMISSIONS","2544 pinewood lane                Layton UT 84040",
,"1241 West 675 South                Marriott-Slaterville UT 84404",
,"832 W 4200 S                Riverdale UT 84405",
"JIFFY LUBE STORE 3229","215 W 200 N                KAYSVILLE UT 84037",
,"UT",
,"UT",
,"1775 W 4800 S                Roy UT 84067",
"QUICK EMISSIONS","505 N Main St.                Layton UT 84041",
"QUICK EMISSIONS","907 south 1213 east                Fruit Heights UT 84037",
,"2726 W 2025 N                Clinton UT 84015",
,"UT",
"VALVOLINE INSTANT OIL CHANGE","1819 W 4650 S Unit V                Roy UT 84067",
,"2901 N 400 W                Layton UT 84041",
"JIFFY LUBE 3730","300 west parrish lane                centerville UT 84014",
"VALVOLINE","2194 w 2120 n                Clinton UT 84015",
,"1068 allington drive                North salt lake UT 84054",
,"2164 North 3000 West                Clinton UT 84015",
"VALVOLINE INSTANT OIL CHANGE","1756 Doral Dr                Syracuse UT 84075",
,"274 E 600 N                Kaysville UT 84037",
,"1619 W 1375 S                Syracuse UT 84075",
,"UT",
,"UT",
,"362 S 950 W                Layton UT 84041",
"VALVOLINE","230 State Street, Apt 106                Clearfield UT 84015",
"BIG O TIRES","2722 w 2850 s                syracuse UT 84075",
"VALVOLINE","1254 N 4950 W                Plain City UT 84404",
"VALVOLINE","856 W Antelope Dr                Clearfield UT 84015",
"FOWERS POINT S","814 S Birch ST                Clearfield UT 84015",
"PERFORMANCE FORD TRUCK COUNTRY","3551 w 4050 s                West valley UT 84119",
"RICHINS","25 E 1800 S Apt A201                Clearfield UT 84015",
"GARRETTS POINT S TIRE & AUTO","2421 N 400 E                North Ogden UT 84414",
"VALVOLINE","1125 midtown crossing                Layton UT 84041",
"VALVOLINE","747 W 4100 South                Riverdale UT 84405",
,"1478 W 800 N                Clearfield UT 84015",
,"223n 4950 w                west point UT 84015",
"TIM DAHLE NISSAN BOUNTIFUL","756 N 900 W apt 202                Salt Lake City UT 84116",
,"536 W 400 S                Tooele UT 84074",
,"UT",
,"8651 S IDA LN                Sandy UT 84093",
"JENKINS TIRE CO","4242 S Twin River Way                Taylorsville UT 84123",
"YOUNG BUICK GMC","2597 N 500 W                Sunset UT 84015",
,"2445 Water Tower Way                Ogden UT 84401",
"VALVOLINE","3533w grey crown crane ln                Clinton UT 84015",
"SAFESTOP MOBILE AUTOCARE","595 E 100 S                Kaysville UT 84037",
,"260 east 500 n                Kaysville UT 84037",
,"1100 S 2000 E                Clearfield UT 84015",
"1","3716 S Highland Dr #61                Millcreek UT 84106",
,"379 N 1275 W                Clearfield UT 84015",
,"1060 Sherwood dr                Ogden UT 84404",
,"544 S Washington Blvd                Ogden UT 84404",
,"379w 1050n                LAYTON UT 84041",
,"2108 Vimont Avenue                Salt Lake City UT 84109",
"LYNN WOOD CLINTON","328 E 1700 S                Kaysville UT 84037",
,"1181 north 1640 west                layton UT 84041",
"ADDI HAYWOOD","3807 W 1450 N                West Point UT 84015",
,"7462 S 1450 E                South Weber UT 84405",
"RUSSELL’S MAIN STREET GARAGE","773 E 200 S                Salt Lake City UT 84102",
,"678 Colonial Street                Layton UT 84041",
,"1655 West 2055 South                Syracuse UT 84075",
,"UT",
,"5724s 590w                Murray UT 84123",
,"180 W 100 S                Willard UT 84340",
,"4443 W 3980 S                West Valley UT 84120",
,"732s Hollie Avenue                Farmington UT 84025",
,"2543 wood hollow way                Bountiful UT 84010",
"JIFFY LUBE","1668 s 1250 w                syracuse UT 84075",
,"699 Mare Dr.                Kaysville UT 84037",
,"435 E. Warnock Ave. APT 14                South Salt Lake UT 84093",
,"2589 W 1835 N                Clearfield UT 84015",
,"586 W 1425 N                Layton UT 84041",
,"5902 S 2775 W St                Roy UT 84067",
,"1575 w Riverwalk dr unit b106                West Haven UT 84401",
,"277 W 2600 S                Bountiful UT 84010",
,"2120 W 1275 S                Syracuse UT 84075",
"FULLSPEED AUTOMOTIVE","3434 emily lane unit 3                west haven UT 84401",
,"2580 W 4950 S                Roy UT 84067",
,"438w 4650s                Ogden UT 84405",
,"UT",
,"2567 N Hillfield Rd. #6                Layton UT 84041",
,"136 S Bonanza Rd                Farmington UT 84025",
,"1283 W 1700 S #K305                Syracuse UT 84075",
,"2186 E 3250 N                Layton UT 84040",
,"260s 1050e                Layton UT 84041",
,"261 North 1125 West                Clearfield UT 84015",
,"2986 W Lehman Ave                West Valley City Utah 84119",
"M’S AUTO","1474 Earl circle                Syracuse UT 84075",
,"346 S Main St                Centerville UT 84014",
"JACK IN THE BOX","200 400 WEST                KAYSVILLE UT 84041",
"BOWLS AND CHEERS, LLC","2052 1700 SOUTH                SYRACUSE UT 84075",
"MORTY'S CAFE","1863 700 SOUTH                SYRACUSE UT 84075",
"JERSEY MIKE'S","331 PARRISH                CENTERVILLE UT 84104",
"JERSEY MIKE'S SUBS","618 2600 SOUTH                WOODS CROSS UT 84010-8264",
"JERSEY MIKE'S","1060 PARK                FARMINGTON UT 84025",
"SAND SPRINGS ELEMENTARY CAFETERIA","242 3200 WEST                LAYTON UT 84041",
"SNOW HORSE ELEMENTARY CAFETERIA","1095 SMITH                KAYSVILLE UT 84037",
"SOUTH CLEARFIELD ELEMENTARY CAFETERIA","990 700 SOUTH                CLEARFIELD UT 84015",
"SOUTH WEBER ELEMENTARY CAFETERIA","1285 LESTER                SOUTH WEBER UT 84405",
"STEWART ELEMENTARY CAFETERIA","1155 MAIN                CENTERVILLE UT 84014",
"SUNSET ELEMENTARY CAFETERIA","2014 250 WEST                SUNSET UT 84015",
"SYRACUSE ELEMENTARY CAFETERIA","1503 2000 WEST                SYRACUSE UT 84075",
"TAYLOR ELEMENTARY CAFETERIA","293 PAGES                CENTERVILLE UT 84014",
"TOLMAN ELEMENTARY CAFETERIA","300 1200 NORTH                BOUNTIFUL UT 84010",
"VAE VIEW ELEMENTARY CAFETERIA","1750 1600 NORTH                LAYTON UT 84041",
"VALLEY VIEW ELEMENTARY CAFETERIA","1395 600 EAST                BOUNTIFUL UT 84010",
"WASATCH ELEMENTARY CAFETERIA","210 CENTER                CLEARFIELD UT 84015",
"WEST CLINTON ELEMENTARY CAFETERIA","2826 1800 NORTH                CLINTON UT 84015",
"WEST POINT ELEMENTARY CAFETERIA","3788 300 NORTH                WEST POINT UT 84015",
"WHITESIDES ELEMENTARY CAFETERIA","233 COLONIAL                LAYTON UT 84041",
"WINDRIDGE ELEMENTARY CAFETERIA","1300 700 EAST                KAYSVILLE UT 84037",
"WOODS CROSS ELEMENTARY CAFETERIA","745 1100 SOUTH                WOODS CROSS UT 84087",
"BOUNTIFUL JR. HIGH CAFETERIA","30 400 NORTH                BOUNTIFUL UT 84010",
"CENTENNIAL JR. HIGH CAFETERIA","740 SUNSET                KAYSVILLE UT 84037",
"CENTERVILLE JR. HIGH CAFETERIA","625 MAIN                CENTERVILLE UT 84014",
"CENTRAL DAVIS JR. HIGH CAFETERIA","663 CHURCH                LAYTON UT 84041",
"FAIRFIELD JR. HIGH CAFETERIA","951 FAIRFIELD                KAYSVILLE UT 84037",
"FARMINGTON JR. HIGH CAFETERIA","150 200 WEST                FARMINGTON UT 84025",
"KAYSVILLE JR. HIGH CAFETERIA","100 350 SOUTH                KAYSVILLE UT 84037",
"LEGACY JR. HIGH CAFETERIA","411 3200 WEST                LAYTON UT 84041",
"MILLCREEK JR. HIGH CAFETERIA","245 1000 SOUTH                BOUNTIFUL UT 84010",
"MUELLER PARK JR. HIGH CAFETERIA","955 1800 SOUTH                BOUNTIFUL UT 84010",
"NORTH LAYTON JR. HIGH CAFETERIA","1100 ANTELOPE                LAYTON UT 84041",
"SOUTH DAVIS JR. HIGH CAFETERIA","298 2600                Bountiful UT 84010",
"SUNSET JR. HIGH CAFETERIA","1610 250 WEST                SUNSET UT 84015",
"SYRACUSE JR. HIGH CAFETERIA","1450 2000 WEST                SYRACUSE UT 84015",
"WEST POINT JR. HIGH CAFETERIA","2775 550 NORTH                WEST POINT UT 84015",
"BOUNTIFUL HIGH CAFETERIA","695 ORCHARD                BOUNTIFUL UT 84010",
"CLEARFIELD HIGH CAFETERIA","931 1000 EAST                CLEARFIELD UT 84015",
"DAVIS HIGH CAFETERIA","325 MAIN                KAYSVILLE UT 84037",
"LAYTON HIGH CAFETERIA","440 LANCER                LAYTON UT 84041",
"NORTHRIDGE HIGH CAFETERIA","2430 Hill Field                LAYTON UT 84041",
"SYRACUSE HIGH CAFETERIA","665 2000 WEST                SYRACUSE UT 84075",
"VIEWMONT HIGH CAFETERIA","120 1000 NORTH                BOUNTIFUL UT 84010",
"WOODS CROSS HIGH CAFETERIA","600 2200 SOUTH                WOODS CROSS UT 84087",
"CANYON HEIGHTS CAFETERIA (YOUNG PARENTS))","525 DATC                KAYSVILLE UT 84037",
"FARMINGTON HIGH CAFETERIA","650 GLOVERS                FARMINGTON UT 84025",
"ADAMS ELEMENTARY CAFETERIA","2200 2500 NORTH                LAYTON UT 84040",
"ADELAIDE ELEMENTARY CAFETERIA","731 3600 SOUTH                BOUNTIFUL UT 84010",
"ANTELOPE ELEMENTARY CAFETERIA","1810 MAIN                CLEARFIELD UT 84015",
"BLUFF RIDGE ELEMENTARY CAFETERIA","2680 BLUFF RIDGE                SYRACUSE UT 84075",
"BOULTON ELEMENTARY CAFETERIA","2611 ORCHARD                BOUNTIFUL UT 84010",
"BUFFALO POINT ELEMENTARY CAFETERIA","1924 DORAL                SYRACUSE UT 84075",
