facility_id,name,street,city_raw,city,zip
CDCC5548D2801B7586258440007A8151,Auberge of North Ogden,1340 N Washington Blvd.,Ogden,Ogden,84404
2602DA4922AB7F2D86258DE9006C6B4E,AWADA AROMA OF INDIA,380 W 2650 N Unit 3,PLEASANT VIEW,Pleasant View,84414
639146435B28A26286257688006128C4,A. PARLEY BATES ELEMENTARY - A. PARLEY BATES ELEMENTARY CAFETERIA,850 East 3100 North,NORTH OGDEN,North Ogden,84404
A3A8213BDA0A582986258D5C0055AC1E,"BAD BEVS, LLC - MOBILE - BAD BEVS, LLC",272 25th Street,Ogden,Ogden,84401
C20D15BAD2D6522D862589C200577FE4,Bad Humor Meat & Cheese Co. Mobile - Bad Humor Meat & Cheese Co. #392167Z,130 25th St.,Ogden,Ogden,84401
119331396CD03E9686257688006166EB,BANGKOK GARDEN,2426 GRANT AVE,OGDEN,Ogden,84401
81A0E217D6ABE0DF86258B7E0060D84D,BASKIN ROBBINS,1695 E Skyline Dr,South Ogden,South Ogden,84405
D83F130877EACF018625768800612992,BASKIN ROBBINS,1166 South WASHINGTON BLVD,OGDEN,Ogden,84404
38262D4C664B71278725806E0064620F,BEANS AND BREWS,1265 WALL AVE,OGDEN,Ogden,84404
C731A13BAB89779686258C280066926B,BEANS AND BREWS COFFEE HOUSE,4691 Midland Dr,Roy,Roy,84067
D5C94D2331D580E186258C690071F1E4,BEANS AND BREWS COFFEE HOUSE,340 E 525 N,Harrisville,Harrisville,84404
74C8D451B4E582108725827B007D2AB2,Beans & Brews,2420 N Washington Blvd.,North Ogden,North Ogden,84414
9E91D9B8A6A892B886257AF4006523F3,BEANS & BREWS,4201 Harrison,Ogden,Ogden,84403
30F5EC4583BCF56A86258D5C006DC3F9,BEEHIVE GRAZE,2563 Monroe Blvd.,Ogden,Ogden,84401
7ED12648EC33FBD786258C9E005D1F15,"BEEZ CAFE OF ROY, INC","5410 S 1900 W, Roy",,,84067
4039CEC1B4F23B1D8625768800616AE9,BELLA'S MEXICAN RESTAURANT,2651 North 1850 West,FARR WEST,Farr West,84404
AEEB7B3E5293188586257688006137B9,BEN LOMOND HIGH - BEN LOMOND HIGH CAFETERIA,800 South JACKSON AVE,OGDEN,Ogden,84404
B2DEFFC7708A70AF8625768800612109,BEN LOMOND LANES,329 South WASHINGTON BLVD,OGDEN,Ogden,84404
C6F6BA6EE040B7EC06257992005A3350,Best Western Canyon Pines,6650 S. Hwy 89,So. Ogden,South Ogden,84403
5D530E6FCA000E2B8725846D005B0CC7,BEST WESTERN PLUS HIGH COUNTRY INN,1335 W. 12TH ST.,MARRIOTT-SLATERVILLE,Marriott-Slaterville,84404
F788C4A8AE69CB3D8625768800613DDB,BETO'S,1005 South WASHINGTON BLVD,OGDEN,Ogden,84404
8214F345576BEE298625896000589817,BETO'S MEXICAN FOOD,2220 N. Hwy 89,Harrisville,Harrisville,84404
2182A79E6D2BC6B286258528004E3516,BETO'S RESTURANT,3585 HARRISON BLVD,OGDEN,Ogden,84403
2805B26A692EF680862576880061699E,BIG SCOOPS CREAMERY,3588 W. 5600 S.,ROY,Roy,84067
39144F9727356A8986258C3D0067EDA8,BINGHAM'S CUSTOM MEATS,371 E 300 N,Morgan,Morgan,84050
80FD452F40D1DF2F872580BB00705721,Black Bear Diner,366 12th Street,Ogden,Ogden,84404
8462168DB9C19ED086258518005CCE23,BLUE'S C-STORE,1125 W. 3300 SO.,OGDEN,Ogden,84401
239ACCBFA1D2E0E9862584D3007C2761,Blue Sapphire Gentlemens Club,2706 S 1900 W,Ogden,Ogden,84401
11A497202508F1D187257CE10069DBC7,Bob's Burgers,3651 Wall Ave.Unit 1042,Ogden,Ogden,84405
681E8BD7988F22C7862576880061506C,BONNEVILLE HIGH SCHOOL - BONNEVILLE HIGH CAFETERIA,251 East 4800 South,WASHINGTON TERR,Washington Terrace,84403
F3800758A0FCABCD86258B23005D7722,BOUT TIME PUB,3651 Wall Ave Unit 1232,ogden,Ogden,84405
CC37A769C5BF6F72862589BB005EA5CD,Brain Freeze Snowie-Mobile #G581RV,1461 Wild Rose Way,Ogden,Ogden,84404
DE25C02A533AB9388625768800613A11,BREWSKIS ON HISTORIC 25TH STRE - BREWSKIS,244 East 25TH STREET,OGDEN,Ogden,84401
5C993A5A8AD64433862585BD00520BF5,BRIDGE ACADEMY - BRIDGE ACADEMY CAFETERIA,4824 South Midland Drive,Roy,Roy,84067
174D5A01547DAC9687257E6F0078A011,Brighton Recovery Center,6000 South 1075 East,South Ogden,South Ogden,84405
C1C7671B55295825862588FB0082ABDD,BRIXTON'S GOURMET,2386 Kiesel Avenue,Ogden,Ogden,84401
